latitude,longitude,population,density_per_km2
13.14,80.29,55856,45334
13.14,80.3,34166,27730
13.14,80.31,32947,26740
13.14,80.32,31609,25655
13.14,80.33,30236,24540
13.14,80.34,18301,14853
13.14,80.35,17473,14182
13.14,80.36,16667,13527
13.14,80.37,15887,12894
13.14,80.38,15137,12285
13.14,80.39,7334,5952
13.15,80.07,6732,5464
13.15,80.08,7046,5719
13.15,80.09,7367,5979
13.15,80.1,7690,6241
13.15,80.11,8008,6500
13.15,80.12,8311,6746
13.15,80.13,8581,6964
13.15,80.14,20817,16896
13.15,80.15,28089,22798
13.15,80.16,28893,23450
13.15,80.17,29574,24003
13.15,80.18,30145,24467
13.15,80.19,37989,30833
13.15,80.2,38747,31448
13.15,80.21,70358,57104
13.15,80.22,71537,58061
13.15,80.23,72474,58822
13.15,80.24,72598,58922
13.15,80.25,55811,45298
13.15,80.26,55739,45239
13.15,80.27,55430,44988
13.15,80.28,41751,33886
13.15,80.29,33889,27505
13.15,80.3,33099,26864
13.15,80.31,32062,26023
13.15,80.32,30886,25067
13.15,80.33,29642,24058
13.15,80.34,17902,14530
13.15,80.35,17143,13913
13.15,80.36,16389,13302
13.15,80.37,15652,12703
13.15,80.38,14935,12121
13.16,80.07,6588,5347
13.16,80.08,6880,5584
13.16,80.09,7173,5822
13.16,80.1,7464,6058
13.16,80.11,7744,6285
13.16,80.12,8002,6494
13.16,80.13,8222,6673
13.16,80.14,12928,10492
13.16,80.15,20691,16793
13.16,80.16,27953,22687
13.16,80.17,28602,23214
13.16,80.18,29152,23660
13.16,80.19,29608,24030
13.16,80.2,37589,30508
13.16,80.21,45556,36974
13.16,80.22,46373,37637
13.16,80.23,46966,38118
13.16,80.24,47183,38295
13.16,80.25,40813,33124
13.16,80.26,40815,33126
13.16,80.27,40621,32969
13.16,80.28,33044,26819
13.16,80.29,32613,26470
13.16,80.3,31930,25915
13.16,80.31,31040,25193
13.16,80.32,30011,24357
13.16,80.33,22443,18215
13.16,80.34,17405,14126
13.16,80.35,16721,13571
13.16,80.36,16030,13010
13.16,80.37,15342,12452
13.16,80.38,14667,11904
13.17,80.08,6689,5429
13.17,80.09,6956,5645
13.17,80.1,7215,5855
13.17,80.11,7459,6054
13.17,80.12,7678,6232
13.17,80.13,7861,6380
13.17,80.14,12493,10140
13.17,80.15,12786,10377
13.17,80.16,26977,21895
13.17,80.17,27582,22386
13.17,80.18,28096,22803
13.17,80.19,28515,23143
13.17,80.2,36305,29466
13.17,80.21,36845,29905
13.17,80.22,44692,36273
13.17,80.23,45172,36662
13.17,80.24,38976,31634
13.17,80.25,39204,31818
13.17,80.26,39213,31826
13.17,80.27,31907,25897
13.17,80.28,31716,25741
13.17,80.29,31318,25418
13.17,80.3,30718,24931
13.17,80.31,29945,24304
13.17,80.32,29043,23571
13.17,80.33,17413,14132
13.17,80.34,16842,13669
13.17,80.35,16233,13175
13.17,80.36,15606,12666
13.17,80.37,14973,12153
13.18,80.08,6482,5261
13.18,80.09,6722,5455
13.18,80.1,6952,5642
13.18,80.11,7165,5815
13.18,80.12,7352,5967
13.18,80.13,7506,6092
13.18,80.14,12051,9781
13.18,80.15,12320,9999
13.18,80.16,12539,10177
13.18,80.17,19357,15710
13.18,80.18,27005,21918
13.18,80.19,27381,22223
13.18,80.2,34950,28366
13.18,80.21,35416,28744
13.18,80.22,35737,29005
13.18,80.23,43361,35192
13.18,80.24,37326,30294
13.18,80.25,30396,24670
13.18,80.26,30567,24809
13.18,80.27,30562,24805
13.18,80.28,30380,24657
13.18,80.29,30021,24365
13.18,80.3,29492,23936
13.18,80.31,28815,23387
13.18,80.32,21658,17578
13.18,80.33,16733,13581
13.18,80.34,16238,13179
13.18,80.35,15700,12742
13.18,80.36,15135,12284
13.18,80.37,7308,5931
13.19,80.09,6478,5258
13.19,80.1,6682,5423
13.19,80.11,6868,5574
13.19,80.12,7030,5705
13.19,80.13,7159,5811
13.19,80.14,7250,5884
13.19,80.15,11852,9619
13.19,80.16,12055,9784
13.19,80.17,12212,9912
13.19,80.18,18944,15375
13.19,80.19,19199,15582
13.19,80.2,19384,15732
13.19,80.21,26872,21810
13.19,80.22,27161,22044
13.19,80.23,21071,17102
13.19,80.24,28754,23338
13.19,80.25,29070,23594
13.19,80.26,29225,23720
13.19,80.27,29220,23715
13.19,80.28,29055,23582
13.19,80.29,28735,23322
13.19,80.3,28269,22944
13.19,80.31,21303,17290
13.19,80.32,20818,16896
13.19,80.33,16043,13020
13.19,80.34,15614,12672
13.19,80.35,15139,12287
13.19,80.36,7396,6003
13.2,80.11,6574,5336
13.2,80.12,6714,5449
13.2,80.13,6825,5539
13.2,80.14,6902,5602
13.2,80.15,11384,9240
13.2,80.16,11571,9391
13.2,80.17,11716,9509
13.2,80.18,11818,9592
13.2,80.19,11875,9638
13.2,80.2,18557,15061
13.2,80.21,12231,9927
13.2,80.22,19803,16072
13.2,80.23,20133,16340
13.2,80.24,20353,16519
13.2,80.25,27766,22535
13.2,80.26,27906,22649
13.2,80.27,27902,22646
13.2,80.28,27756,22528
13.2,80.29,20981,17029
13.2,80.3,20742,16835
13.2,80.31,20403,16560
13.2,80.32,15669,12717
13.2,80.33,15355,12463
13.2,80.34,14982,12160
13.2,80.35,7409,6013
13.21,80.13,6503,5278
13.21,80.14,6570,5332
13.21,80.15,6603,5359
13.21,80.16,11091,9001
13.21,80.17,11223,9109
13.21,80.18,11315,9184
13.21,80.19,4961,4026
13.21,80.2,5088,4130
13.21,80.21,5189,4212
13.21,80.22,11809,9585
13.21,80.23,19222,15601
13.21,80.24,19415,15757
13.21,80.25,19507,15832
13.21,80.26,12957,10516
13.21,80.27,12931,10495
13.21,80.28,20146,16351
13.21,80.29,20030,16256
13.21,80.3,19819,16085
13.21,80.31,19521,15843
13.21,80.32,7708,6256
13.21,80.33,7541,6120
13.21,80.34,7346,5962
13.22,80.17,4487,3642
13.22,80.18,4627,3756
13.22,80.19,4755,3859
13.22,80.2,4863,3947
13.22,80.21,4948,4016
13.22,80.22,5003,4060
13.22,80.23,5025,4078
13.22,80.24,5013,4068
13.22,80.25,12320,9999
13.22,80.26,12359,10031
13.22,80.27,12338,10014
13.22,80.28,12257,9948
13.22,80.29,12121,9838
13.22,80.3,11933,9685
13.22,80.31,7473,6065
13.22,80.32,7358,5972
13.23,80.18,4439,3603
13.23,80.19,4550,3693
13.23,80.2,4643,3768
13.23,80.21,4715,3827
13.23,80.22,4761,3864
13.23,80.23,4780,3879
13.23,80.24,4769,3871
13.23,80.25,4731,3839
13.23,80.26,4665,3787
13.23,80.27,4578,3715
13.23,80.28,4472,3629
13.24,80.2,4430,3595
13.24,80.21,4491,3645
13.24,80.22,4531,3677
13.24,80.23,4547,3690
13.24,80.24,4538,3683
13.24,80.25,4505,3656
13.24,80.26,4449,3611
13.24,80.27,4373,3549
